Depth	breadth\Structural Virality
0	1	0.0000
8	4	4.6104
14	7	6.5838
1	1	1.0000
1	2	1.3333
3	1	1.6667
7	3	4.2095
0	1	0.0000
0	1	0.0000
3	2	2.0000
3	1	1.6667
0	1	0.0000
3	2	2.0667
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
6	3	3.1026
3	2	1.8000
2	1	1.3333
3	1	1.6667
0	1	0.0000
8	3	4.9368
0	1	0.0000
13	7	6.6162
0	1	0.0000
0	1	0.0000
3	2	1.8000
0	1	0.0000
0	1	0.0000
0	1	0.0000
2	1	1.3333
0	1	0.0000
0	1	0.0000
0	1	0.0000
6	8	4.7831
8	5	4.2165
1	1	1.0000
5	2	2.4762
9	8	6.9582
1	1	1.0000
1	1	1.0000
16	10	8.7148
1	1	1.0000
0	1	0.0000
1	1	1.0000
0	1	0.0000
2	1	1.3333
0	1	0.0000
2	1	1.3333
0	1	0.0000
0	1	0.0000
2	1	1.3333
5	5	3.7802
2	3	2.1333
2	3	1.8000
10	3	5.5842
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
1	1	1.0000
0	1	0.0000
4	2	2.5357
0	1	0.0000
5	2	2.7143
0	1	0.0000
1	1	1.0000
0	1	0.0000
3	3	2.7222
15	14	11.6303
1	1	1.0000
6	6	4.2895
7	3	3.8476
0	1	0.0000
0	1	0.0000
0	1	0.0000
2	2	2.0000
2	1	1.3333
0	1	0.0000
0	1	0.0000
1	1	1.0000
5	2	3.1778
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
1	1	1.0000
2	2	1.6667
0	1	0.0000
9	2	4.3667
0	1	0.0000
0	1	0.0000
2	4	2.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
16	10	9.5888
0	1	0.0000
19	13	8.0128
1	1	1.0000
0	1	0.0000
7	5	4.9134
0	1	0.0000
0	1	0.0000
8	3	4.5147
3	1	1.6667
4	5	3.5500
0	1	0.0000
7	7	5.0769
1	1	1.0000
4	2	2.1905
0	1	0.0000
0	1	0.0000
7	6	4.9060
12	5	5.7664
0	1	0.0000
0	1	0.0000
4	3	2.9111
0	1	0.0000
1	1	1.0000
12	4	6.0345
14	3	5.4952
12	4	5.6903
3	1	1.6667
9	9	5.4769
1	2	1.3333
2	1	1.3333
0	1	0.0000
1	2	1.3333
3	1	1.6667
0	1	0.0000
5	2	2.4762
0	1	0.0000
2	1	1.3333
8	4	3.9649
0	1	0.0000
4	2	3.1667
0	1	0.0000
2	2	1.5000
0	1	0.0000
2	2	1.6667
7	6	4.3874
2	1	1.3333
0	1	0.0000
13	6	6.6401
0	1	0.0000
1	1	1.0000
0	1	0.0000
0	1	0.0000
2	1	1.3333
2	2	1.6667
0	1	0.0000
0	1	0.0000
1	1	1.0000
8	3	5.0877
0	1	0.0000
1	2	1.3333
5	2	3.4000
0	1	0.0000
3	3	2.1333
0	1	0.0000
0	1	0.0000
2	1	1.3333
1	1	1.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
3	2	2.3333
0	1	0.0000
0	1	0.0000
0	1	0.0000
6	3	4.0571
20	9	13.5800
3	1	1.6667
0	1	0.0000
11	4	5.4234
1	1	1.0000
0	1	0.0000
2	1	1.3333
0	1	0.0000
0	1	0.0000
8	5	4.2000
4	1	2.0000
0	1	0.0000
0	1	0.0000
3	5	2.4444
23	7	11.6909
0	1	0.0000
49	20	23.3891
3	3	2.6667
2	2	1.6667
0	1	0.0000
3	2	2.0667
0	1	0.0000
1	2	1.3333
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
20	9	10.9425
3	3	1.8667
0	1	0.0000
0	1	0.0000
1	1	1.0000
10	7	7.0065
19	9	9.4718
4	2	2.0667
0	1	0.0000
1	1	1.0000
0	1	0.0000
0	1	0.0000
1	1	1.0000
0	1	0.0000
1	1	1.0000
4	2	3.0000
0	1	0.0000
8	3	4.0500
0	1	0.0000
0	1	0.0000
1	1	1.0000
0	1	0.0000
3	1	1.6667
20	8	9.6262
0	1	0.0000
3	3	2.1905
0	1	0.0000
0	1	0.0000
6	2	2.8214
0	1	0.0000
2	1	1.3333
15	7	8.0566
1	2	1.3333
6	2	2.7143
1	2	1.3333
0	1	0.0000
0	1	0.0000
4	3	2.6444
0	1	0.0000
0	1	0.0000
1	1	1.0000
1	1	1.0000
6	6	3.7333
8	6	4.5569
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
7	4	3.7582
0	1	0.0000
0	1	0.0000
2	1	1.3333
0	1	0.0000
0	1	0.0000
0	1	0.0000
16	12	10.0959
3	1	1.6667
2	1	1.3333
0	1	0.0000
0	1	0.0000
5	4	3.8083
7	4	3.5810
0	1	0.0000
1	2	1.3333
0	1	0.0000
0	1	0.0000
2	1	1.3333
0	1	0.0000
4	2	2.1333
1	1	1.0000
0	1	0.0000
12	3	5.6267
6	3	3.5055
11	3	4.5848
8	4	4.4327
12	8	5.1586
11	9	6.3064
1	1	1.0000
19	11	10.2415
1	1	1.0000
0	1	0.0000
7	4	4.2876
0	1	0.0000
0	1	0.0000
0	1	0.0000
1	1	1.0000
18	11	10.3062
5	2	3.0000
1	1	1.0000
0	1	0.0000
5	1	2.3333
0	1	0.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
5	3	2.7222
0	1	0.0000
1	1	1.0000
25	9	10.4508
1	1	1.0000
1	2	1.3333
0	1	0.0000
1	1	1.0000
0	1	0.0000
1	1	1.0000
7	5	5.0036
9	3	4.2750
0	1	0.0000
3	2	2.3333
0	1	0.0000
0	1	0.0000
2	2	1.6667
3	1	1.6667
1	1	1.0000
12	8	5.6159
3	2	1.8000
5	5	3.6993
2	1	1.3333
14	7	7.8483
0	1	0.0000
0	1	0.0000
13	6	6.5375
10	4	5.0476
1	1	1.0000
3	3	1.8667
0	1	0.0000
0	1	0.0000
4	5	2.5455
4	3	2.7222
6	4	3.6154
0	1	0.0000
0	1	0.0000
5	3	2.7111
0	1	0.0000
0	1	0.0000
8	4	5.0514
0	1	0.0000
3	2	2.0000
1	1	1.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
8	3	3.2727
0	1	0.0000
2	2	1.5000
7	2	3.0556
2	1	1.3333
0	1	0.0000
6	3	3.5275
12	6	7.3423
3	1	1.6667
0	1	0.0000
1	1	1.0000
10	4	4.9067
8	6	5.2660
2	2	1.6667
6	1	2.6667
1	2	1.3333
0	1	0.0000
1	1	1.0000
3	2	2.0000
1	1	1.0000
9	2	3.9231
2	1	1.3333
0	1	0.0000
25	11	13.1588
0	1	0.0000
3	2	2.0667
1	1	1.0000
9	3	4.2750
1	1	1.0000
12	11	6.9390
4	2	2.3333
3	2	1.8000
1	1	1.0000
1	1	1.0000
0	1	0.0000
0	1	0.0000
0	1	0.0000
1	2	1.3333
0	1	0.0000
2	1	1.3333
5	6	3.5359
0	1	0.0000
0	1	0.0000
2	1	1.3333
15	4	7.7951
0	1	0.0000
12	3	5.1542
7	3	3.0769
2	1	1.3333
1	3	1.5000
2	3	2.1333
0	1	0.0000
5	3	2.6111
3	4	2.5357
4	3	2.5556
3	1	1.6667
0	1	0.0000
18	6	8.1636
0	1	0.0000
15	9	7.1990
3	2	2.0000
10	7	6.4730
0	1	0.0000
4	3	2.4444
0	1	0.0000
0	1	0.0000
2	1	1.3333
0	1	0.0000
2	1	1.3333
1	1	1.0000
0	1	0.0000
1	2	1.3333
0	1	0.0000
1	1	1.0000
0	1	0.0000
0	1	0.0000
1	1	1.0000
0	1	0.0000
8	4	4.0368
1	1	1.0000
0	1	0.0000
0	1	0.0000
1	1	1.0000
8	7	5.4345
3	1	1.6667
1	3	1.5000
2	2	1.6667
